gene_id,L1,L2,L3,R1,R2,R3
MSTRG.235|Solyc01g005110.3,473,447,373,1951,2450,2722
MSTRG.237|Solyc01g005120.3,1645,1901,1333,10069,12785,13126
MSTRG.239|Solyc01g005140.3,12,0,0,717,938,901
MSTRG.240|Solyc01g005150.3,138,243,164,1544,1517,1574
MSTRG.238|Solyc01g005130.2,2844,3195,2166,4692,5698,5144
MSTRG.243|Solyc01g005230.3,20,12,0,1188,1520,1248
MSTRG.242|Solyc01g005220.3,365,443,295,1869,3614,3033
MSTRG.246|Solyc01g005180.1,0,1,0,26,16,19
MSTRG.248|Solyc01g005200.1,0,0,0,24,25,31
MSTRG.245|Solyc01g005210.3,3980,4379,3142,16477,23896,19753
MSTRG.244|Solyc01g005170.2,2,0,0,13,8,12
MSTRG.247|Solyc01g005190.1,8,4,8,19,54,14
MSTRG.252|Solyc01g005270.3,652,906,602,1772,2367,2322
MSTRG.253|Solyc01g005280.3,225,199,136,114,177,230
MSTRG.254|Solyc01g005295.1,0,0,0,0,0,0
MSTRG.254|Solyc01g005290.3,198,397,213,35,48,34
MSTRG.249|Solyc01g005260.3,257,243,182,686,932,1233
MSTRG.250|Solyc01g005240.3,6210,7698,5343,8248,10935,9624
MSTRG.251|Solyc01g005250.3,8950,9667,7770,7645,10028,9296
MSTRG.257|Solyc01g005305.1,0,0,0,0,0,0
MSTRG.256|Solyc01g005300.3,7456,11344,9085,5695,9171,6863
Solyc01g005350.3|Solyc01g005350.3,37,85,33,7,4,4
Solyc01g005360.3|Solyc01g005360.3,8,6,24,0,0,0
MSTRG.261|Solyc01g005370.3,32,60,12,210,310,332
MSTRG.259|Solyc01g005340.3,828,870,617,3165,4788,3942
MSTRG.255|Solyc01g005320.2,46,57,6,7101,9740,10898
MSTRG.260|Solyc01g005330.3,11314,13358,9418,17721,24291,22785
MSTRG.263|Solyc01g005390.3,42,49,34,985,652,1176
MSTRG.262|Solyc01g005380.2,1435,1929,1020,1528,1755,1529
